run,group_size,groups,n_columns,auc
154,3,"('education', 'race', 'native.country')",63,0.7218949515224723
155,3,"('education', 'sex', 'native.country')",60,0.7579156898703934
156,3,"('marital.status', 'occupation', 'relationship')",28,0.8555004750990325
157,3,"('marital.status', 'occupation', 'race')",27,0.8530554175964575
158,3,"('marital.status', 'occupation', 'sex')",24,0.8569402750988491
159,3,"('marital.status', 'occupation', 'native.country')",64,0.853485144900619
160,3,"('marital.status', 'relationship', 'race')",18,0.7956908781444356
161,3,"('marital.status', 'relationship', 'sex')",15,0.7959988211949199
162,3,"('marital.status', 'relationship', 'native.country')",55,0.798010425351211
163,3,"('marital.status', 'race', 'sex')",14,0.7898972552483309
164,3,"('marital.status', 'race', 'native.country')",54,0.7911226931786602
165,3,"('marital.status', 'sex', 'native.country')",51,0.7862403455382423
166,3,"('occupation', 'relationship', 'race')",26,0.8555345827153835
167,3,"('occupation', 'relationship', 'sex')",23,0.8590917778059047
168,3,"('occupation', 'relationship', 'native.country')",63,0.8568381242209706
169,3,"('occupation', 'race', 'sex')",22,0.7635827706436491
170,3,"('occupation', 'race', 'native.country')",62,0.7363840102577366
171,3,"('occupation', 'sex', 'native.country')",59,0.7637736299859029
172,3,"('relationship', 'race', 'sex')",13,0.7983060724626915
173,3,"('relationship', 'race', 'native.country')",53,0.801661258746454
174,3,"('relationship', 'sex', 'native.country')",50,0.7938732574734086
175,3,"('race', 'sex', 'native.country')",49,0.6472989290093818
176,4,"('age', 'hours.per.week', 'workclass', 'education')",27,0.8148660080858554
177,4,"('age', 'hours.per.week', 'workclass', 'marital.status')",18,0.847190140044153
178,4,"('age', 'hours.per.week', 'workclass', 'occupation')",26,0.8189273653373982
179,4,"('age', 'hours.per.week', 'workclass', 'relationship')",17,0.8534228053497253
180,4,"('age', 'hours.per.week', 'workclass', 'race')",16,0.7807239688379058
181,4,"('age', 'hours.per.week', 'workclass', 'sex')",13,0.7948597701181052
182,4,"('age', 'hours.per.week', 'workclass', 'native.country')",53,0.7761675638976098
183,4,"('age', 'hours.per.week', 'education', 'marital.status')",25,0.8770937490541585
184,4,"('age', 'hours.per.week', 'education', 'occupation')",33,0.8285607606262135
185,4,"('age', 'hours.per.week', 'education', 'relationship')",24,0.8800067114617183
186,4,"('age', 'hours.per.week', 'education', 'race')",23,0.8165958088102437
187,4,"('age', 'hours.per.week', 'education', 'sex')",20,0.8295696868473694
188,4,"('age', 'hours.per.week', 'education', 'native.country')",60,0.8158697465099023
189,4,"('age', 'hours.per.week', 'marital.status', 'occupation')",24,0.8754406188119039
190,4,"('age', 'hours.per.week', 'marital.status', 'relationship')",15,0.8466407208022754
